300.5,19,19
301,20,39
301.5,20,59
302,20,79
302.5,21,100
303,21,121
303.5,21,142
304,19,161
304.5,20,181
305,20,201
305.5,21,222
306,20,242
306.5,20,262
307,21,283
307.5,22,305
308,21,326
308.5,21,347
309,20,367
309.5,21,388
310,20,408
310.5,21,429
311,21,450
311.5,20,470
312,20,490
312.5,20,510
313,21,531
313.5,20,551
314,18,569
314.5,19,588
315,19,607
315.5,18,625
316,19,644
316.5,17,661
317,18,679
317.5,17,696
318,18,714
318.5,17,731
319,17,748
319.5,16,764
320,15,779
320.5,16,795
321,16,811
321.5,14,825
322,16,841
322.5,14,855
323,15,870
323.5,15,885
324,15,900
324.5,15,915
325,16,931
325.5,15,946
326,14,960
326.5,14,974
327,14,988
327.5,13,1001
328,14,1015
328.5,14,1029
329,13,1042
329.5,13,1055
330,14,1069
330.5,13,1082
331,12,1094
331.5,13,1107
332,14,1121
332.5,12,1133
333,13,1146
333.5,13,1159
334,13,1172
334.5,14,1186
335,13,1199
335.5,14,1213
336,13,1226
336.5,13,1239
337,12,1251
337.5,11,1262
338,13,1275
338.5,11,1286
339,14,1300
339.5,12,1312
340,12,1324
340.5,12,1336
341,13,1349
341.5,13,1362
342,12,1374
342.5,12,1386
343,12,1398
343.5,13,1411
344,12,1423
344.5,12,1435
345,11,1446
345.5,11,1457
346,12,1469
346.5,12,1481
347,12,1493
347.5,12,1505
348,12,1517
348.5,13,1530
349,12,1542
349.5,11,1553
350,12,1565
350.5,11,1576
351,11,1587
351.5,11,1598
352,11,1609
352.5,11,1620
353,11,1631
353.5,12,1643
354,10,1653
354.5,11,1664
355,10,1674
355.5,10,1684
356,10,1694
356.5,11,1705
357,11,1716
357.5,10,1726
358,10,1736
358.5,10,1746
359,10,1756
359.5,10,1766
360,11,1777
360.5,11,1788
361,11,1799
361.5,11,1810
362,11,1821
362.5,10,1831
363,11,1842
363.5,10,1852
364,11,1863
364.5,10,1873
365,11,1884
365.5,11,1895
366,11,1906
366.5,11,1917
367,11,1928
367.5,10,1938
368,11,1949
368.5,11,1960
369,11,1971
369.5,11,1982
370,10,1992
370.5,11,2003
371,11,2014
371.5,11,2025
372,11,2036
372.5,10,2046
373,10,2056
373.5,10,2066
374,10,2076
374.5,10,2086
375,10,2096
375.5,10,2106
376,10,2116
376.5,10,2126
377,10,2136
377.5,10,2146
378,10,2156
378.5,10,2166
379,10,2176
379.5,10,2186
380,10,2196
380.5,9,2205
381,9,2214
381.5,9,2223
382,10,2233
382.5,10,2243
383,10,2253
383.5,10,2263
384,10,2273
384.5,10,2283
385,10,2293
385.5,10,2303
386,10,2313
386.5,9,2322
387,10,2332
387.5,9,2341
